Mes,Variable,Monto
2024-09,Neto Ventas,21424888
2024-10,Neto Ventas,33943188
2024-11,Neto Ventas,30852512
2024-12,Neto Ventas,12129942
2025-01,Neto Ventas,23642689
2025-02,Neto Ventas,17760317
2025-03,Neto Ventas,34335921
2025-04,Neto Ventas,49387040
2025-05,Neto Ventas,29858247
2025-06,Neto Ventas,52568002
2025-07,Neto Ventas,38613749
2025-08,Neto Ventas,24671931
2024-09,IVA Ventas,0
2024-10,IVA Ventas,7058097
2024-11,IVA Ventas,6479022
2024-12,IVA Ventas,2394138
2025-01,IVA Ventas,4964981
2025-02,IVA Ventas,3462550
2025-03,IVA Ventas,7210548
2025-04,IVA Ventas,10371280
2025-05,IVA Ventas,5843490
2025-06,IVA Ventas,11039282
2025-07,IVA Ventas,7891203
2025-08,IVA Ventas,4942685
2024-09,Neto Compras,1780750
2024-10,Neto Compras,22010247
2024-11,Neto Compras,12498763
2024-12,Neto Compras,17641872
2025-01,Neto Compras,18265634
2025-02,Neto Compras,8202231
2025-03,Neto Compras,21803516
2025-04,Neto Compras,65975470
2025-05,Neto Compras,51655310
2025-06,Neto Compras,24965735
2025-07,Neto Compras,26862694
2025-08,Neto Compras,16451710
2024-09,IVA Compras,338815
2024-10,IVA Compras,3775161
2024-11,IVA Compras,1613530
2024-12,IVA Compras,1427690
2025-01,IVA Compras,2263460
2025-02,IVA Compras,789774
2025-03,IVA Compras,2902762
2025-04,IVA Compras,12485311
2025-05,IVA Compras,8283511
2025-06,IVA Compras,2584648
2025-07,IVA Compras,4333601
2025-08,IVA Compras,2755341
2024-09,Saldo IVA,-338815
2024-10,Saldo IVA,3282936
2024-11,Saldo IVA,4865492
2024-12,Saldo IVA,966448
2025-01,Saldo IVA,2701521
2025-02,Saldo IVA,2672776
2025-03,Saldo IVA,4307786
2025-04,Saldo IVA,-2114031
2025-05,Saldo IVA,-2440021
2025-06,Saldo IVA,8454634
2025-07,Saldo IVA,3557602
2025-08,Saldo IVA,2187344
